Type,File Path,Detail
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\magic\libmagic\libmagic.dll,.dll
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\matplotlib\backends\web_backend\js\mpl.js,.js
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\matplotlib\backends\web_backend\js\mpl_tornado.js,.js
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\matplotlib\backends\web_backend\js\nbagg_mpl.js,.js
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\numpy.libs\libscipy_openblas64_-43e11ff0749b8cbe0a615c9cf6737e0e.dll,.dll
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\numpy.libs\msvcp140-263139962577ecda4cd9469ca360a746.dll,.dll
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\pandas.libs\msvcp140-0f2ea95580b32bcfc81c235d5751ce78.dll,.dll
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\pip\_vendor\distlib\t32.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\pip\_vendor\distlib\t64-arm.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\pip\_vendor\distlib\t64.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\pip\_vendor\distlib\w32.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\pip\_vendor\distlib\w64-arm.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Lib\site-packages\pip\_vendor\distlib\w64.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\activate.bat,.bat
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\chardetect.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\deactivate.bat,.bat
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\f2py.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\fonttools.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\numpy-config.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\pip.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\pip3.13.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\pip3.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\pyftmerge.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\pyftsubset.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\python.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\pythonw.exe,.exe
EXTENSION,C:/Users/sohai/Desktop/55555\venv\Scripts\ttx.exe,.exe
